ticker,naziv,entry_date,entry_price,current_price,benchmark_entry_price,benchmark_current_price,weight,status,teza_kratko,izlazno_pravilo
MANH,Manhattan Associates Inc,2026-08-13,200.92,200.92,150.40,150.40,0.10,active,"Ekonomija obima + switching costs kroz Manhattan Active platformu; kvalitetan posao ali skupo naplacen (PEG_forward GAAP 107, FCF yield 3.3%)","1) Cloud rast <15% dva kvartala zaredom; 2) RPO rast potvrdjen kao produzenje trajanja ugovora, ne stvaran backlog; 3) Services opada <-5% god/god dva kvartala bez cloud akceleracije >20%"
CPRT,"Copart, Inc.",2026-08-14,31.61,31.61,150.40,150.40,0.10,active,"Dvostrani mrezni efekat (osiguravaci/kupci) + regulatorna barijera zemljista; jedina kompanija koja je prosla sve kapije cisto (duopol sa IAA/RB Global)","1) Operativna marza <30% dva kvartala zaredom; 2) FCF konverzija <0.70 dva kvartala zaredom; 3) Veliki osiguravac zaobidje CPRT/IAA sopstvenim digitalnim kanalom"
MEDP,Medpace Holdings Inc,2026-08-14,578.50,578.50,150.40,150.40,0.10,active,"Switching costs kroz regulatorni kontinuitet aktivnih klinickih studija; najbolji kvalitet/najcisci bilans u CRO peer grupi (ICON ima racunovodstvenu istragu, IQVIA nosi realan dug)","1) Backlog rast <0% dva kvartala zaredom; 2) Operativna marza <18% dva kvartala zaredom; 3) Top 10 koncentracija kupaca >45%"
MA,Mastercard Incorporated,2026-08-22,573.85,573.85,148.54,148.54,0.10,active,"Dvostrani mrezni efekat (banke izdavaoci/merchant-i) + regulatorna barijera po jurisdikciji; duopol sa Visa, sve kapije prosle cisto, PEG na granici praga ali FCF marza 50.1%","1) Neto dug/EBITDA >2.0x dva kvartala zaredom; 2) Operativna marza <50% dva kvartala zaredom; 3) DOJ antitrust rezultira strukturnom merom koja merljivo utice na US debit prihod"
JKHY,"Jack Henry & Associates, Inc.",2026-09-03,168.37,168.37,149.78,149.78,0.10,active,"Switching costs kroz core bankarski sistem (operativno srce banke); prakticno bez duga (ND/EBITDA ~0x), ROIC 21.8% x2 WACC, najjaci krug kompetencije fit u projektu, ali ROIC ispod docs/05 softverskog praga (25%+) i PEG ~2.7-2.9 nije jeftino","1) Standardni ROIC <12% dva kvartala zaredom; 2) Neto dug/EBITDA >2.0x dva kvartala zaredom (OTIS/ORLY-stil signal od FY2026 buyback-a); 3) Moat teza opovrgnuta - materijalan skok deconversion fees"
ITW,Illinois Tool Works Inc,2026-09-04,270.12,270.12,149.02,149.02,0.10,active,"80/20 Front-to-Back operativni model - najbolja operativna marza u peer grupi (26.3% vs Honeywell 21.7%, Dover/Lincoln Electric 17.0%), ROIC medijana 29.5% x3.4 WACC, najcistiji scorecard profil od industrijskih kandidata; skupo na PEG bazi (3.43-4.80) ali kvalitet opravdava deo premije","1) Operativna marza <24% dva kvartala zaredom; 2) Neto dug/EBITDA >2.5x dva kvartala zaredom; 3) Standardni ROIC <20% dva kvartala zaredom"
ROP,"Roper Technologies, Inc.",2026-09-04,405.89,405.89,149.02,149.02,0.10,active,"OVERRIDE G1: standardni ROIC 5.8% pada (goodwill 57-62% imovine, serijski akvizitor), ali ROIC ex-goodwill 21.3% medijana DOSLEDNO RASTE (17.1%->23.5%) - jaci trend od AME precedenta. Portfolio trzisno-vodecih softverskih igraca u niskim vertikalama (legal tech, ABA terapija, K-12, osiguranje)","1) ROIC ex-goodwill <15% dva kvartala zaredom; 2) Neto dug/EBITDA >3.5x dva kvartala zaredom; 3) Moat teza opovrgnuta - veca akvizicija propadne (otpisan goodwill)"
ULTA,"Ulta Beauty, Inc.",2026-09-04,564.12,564.12,149.02,149.02,0.10,active,"Ultamate Rewards loyalty program - 46mlrd clanova generise ~95% prodaje, omnichannel clanovi trose 3x vise; sve kapije prolaze cisto (ROIC medijana 33.5%, spread 25.5%), PEG_forward 1.95 najatraktivniji od svih nedavno analiziranih kandidata; operativna marza opada 3 uzastopne godine (16.1%->12.4%) - trend za paznju","1) Operativna marza <10% dva kvartala zaredom; 2) Neto dug/EBITDA >2.0x dva kvartala zaredom; 3) Moat teza opovrgnuta - % prodaje od loyalty padne ispod 90% ili broj clanova stagnira/opada"
TYL,"Tyler Technologies, Inc.",2026-09-04,364.03,364.03,149.02,149.02,0.10,active,"OVERRIDE G1: standardni ROIC 6.6% pada ispod WACC-a (goodwill $2.36-2.59mlrd od NIC Inc. akvizicije 2021), ali ROIC ex-goodwill 36.0% medijana SNAZNO RASTE (20.6%->41.5%), standardni ROIC TAKODJE raste (6.6%->8.8%) - najcistiji override profil od tri testirana serijska akvizitora (ROP/PRGS/TYL). Core sistemi zapisa za javnu upravu, operativna marza dosledno raste, nulti neto dug","1) ROIC ex-goodwill <20% dva kvartala zaredom; 2) Operativna marza <12% dva kvartala zaredom; 3) Neto dug/EBITDA ponovo postane pozitivan i pređe 1.5x"
GEHC,GE HealthCare Technologies Inc,2026-09-04,68.86,68.86,149.02,149.02,0.10,active,"Sve kapije prolaze komotno (ROIC medijana 12.8%, spread 5.7%) bez potrebe za override-om. Najjeftiniji od svih zdravstvenih kandidata (P/E 15.13, PEG_forward 1.59), nema koncentracije kupaca. Samo 4 godine samostalne istorije (spinoff jan 2023); soft signali za paznju: test produktivnosti duga pada, FCF opada uprkos rastu prihoda","1) Neto dug/EBITDA >2.5x dva kvartala zaredom; 2) FCF nastavi da opada 3 uzastopna kvartala; 3) Standardni ROIC <10% dva kvartala zaredom"
